incident_id,incident_name,url,retrieved_date,notes
ift1-2023-04-20,IFT-1 demo narrative (synthetic),,,Synthetic demo narrative from original repo. Replace with real source and text.
ift2-2023-11-18,IFT-2 demo narrative (synthetic),,,Synthetic demo narrative from original repo. Replace with real source and text.
ift3-2024-03-14,IFT-3 demo narrative (synthetic),,,Synthetic demo narrative from original repo. Replace with real source and text.
tbd-001,TBD incident 01,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-002,TBD incident 02,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-003,TBD incident 03,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-004,TBD incident 04,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-005,TBD incident 05,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-006,TBD incident 06,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-007,TBD incident 07,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-008,TBD incident 08,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-009,TBD incident 09,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-010,TBD incident 10,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-011,TBD incident 11,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-012,TBD incident 12,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-013,TBD incident 13,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-014,TBD incident 14,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-015,TBD incident 15,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-016,TBD incident 16,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-017,TBD incident 17,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-018,TBD incident 18,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-019,TBD incident 19,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-020,TBD incident 20,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-021,TBD incident 21,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-022,TBD incident 22,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-023,TBD incident 23,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-024,TBD incident 24,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-025,TBD incident 25,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-026,TBD incident 26,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-027,TBD incident 27,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-028,TBD incident 28,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-029,TBD incident 29,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-030,TBD incident 30,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-031,TBD incident 31,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-032,TBD incident 32,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-033,TBD incident 33,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-034,TBD incident 34,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-035,TBD incident 35,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-036,TBD incident 36,,,"Template entry. Add real incident name, source URL, and raw text."
tbd-037,TBD incident 37,,,"Template entry. Add real incident name, source URL, and raw text."
